id,percenile_rank,Blending_Words,Scaled_Score,Min_Months,Max_Months
,0,0,1,144,155
,0,1,1,144,155
,0,2,1,144,155
,0,3,1,144,155
,0,4,1,144,155
,0,5,1,144,155
,0,6,1,144,155
,0,7,1,144,155
,0,8,1,144,155
,0,9,1,144,155
,0,10,2,144,155
,0,11,2,144,155
,1,12,3,144,155
,1,13,3,144,155
,1,14,3,144,155
,2,15,4,144,155
,2,16,4,144,155
,5,17,5,144,155
,5,18,5,144,155
,9,19,6,144,155
,9,20,6,144,155
,16,21,7,144,155
,25,22,8,144,155
,25,23,8,144,155
,37,24,9,144,155
,50,25,10,144,155
,63,26,11,144,155
,75,27,12,144,155
,84,28,13,144,155
,91,29,14,144,155
,95,30,15,144,155
,98,31,16,144,155
,99,32,17,144,155
,100,33,18,144,155
